-0.013998	0.002591	0.006455	-0.005648	0.000911	0.005138	-0.003819	-0.002291	0.003052	-0.000535	-0.001363	0.000888
-0.013631	0.001714	0.006892	-0.0055	0.000439	0.005361	-0.00351	-0.002578	0.003031	-0.000388	-0.001429	0.000818
-0.013179	0.000824	0.007289	-0.005318	-0.000038	0.005552	-0.003177	-0.002851	0.002991	-0.000236	-0.001486	0.000743
-0.012646	-0.000074	0.007643	-0.005101	-0.000518	0.00571	-0.002822	-0.003108	0.002932	-0.000082	-0.001534	0.000662
-0.012035	-0.000974	0.007952	-0.004851	-0.000999	0.005835	-0.002445	-0.003348	0.002855	0.000075	-0.001573	0.000577
-0.01135	-0.001871	0.008215	-0.004571	-0.001477	0.005924	-0.002051	-0.003569	0.002759	0.000233	-0.001603	0.000487
-0.010595	-0.002758	0.008428	-0.00426	-0.001949	0.005977	-0.00164	-0.003769	0.002645	0.000392	-0.001622	0.000393
-0.009774	-0.00363	0.008592	-0.003921	-0.002412	0.005994	-0.001216	-0.003947	0.002515	0.00055	-0.001631	0.000297
-0.008893	-0.004483	0.008703	-0.003556	-0.002864	0.005974	-0.00078	-0.004102	0.002367	0.000706	-0.00163	0.000198
-0.007956	-0.005309	0.008762	-0.003167	-0.0033	0.005917	-0.000336	-0.004233	0.002204	0.00086	-0.001618	0.000097
-0.006969	-0.006106	0.008769	-0.002755	-0.00372	0.005823	0.000113	-0.004338	0.002026	0.00101	-0.001595	-0.000005
-0.005939	-0.006866	0.008721	-0.002324	-0.004118	0.005693	0.000566	-0.004416	0.001835	0.001156	-0.001563	-0.000108
-0.00487	-0.007587	0.008621	-0.001875	-0.004494	0.005526	0.001019	-0.004467	0.00163	0.001296	-0.001519	-0.000211
-0.003771	-0.008262	0.008468	-0.001411	-0.004844	0.005325	0.00147	-0.004491	0.001414	0.00143	-0.001465	-0.000313
-0.002649	-0.00889	0.008263	-0.000936	-0.005166	0.005089	0.001915	-0.004486	0.001187	0.001556	-0.001401	-0.000414
-0.001509	-0.009465	0.008007	-0.000451	-0.005458	0.00482	0.002352	-0.004453	0.000951	0.001675	-0.001328	-0.000513
-0.000359	-0.009984	0.007701	0.00004	-0.005718	0.00452	0.002778	-0.004392	0.000708	0.001784	-0.001245	-0.000609
0.000794	-0.010444	0.007348	0.000534	-0.005945	0.004191	0.00319	-0.004303	0.000459	0.001884	-0.001152	-0.000701
0.001941	-0.010844	0.006949	0.001029	-0.006135	0.003832	0.003587	-0.004185	0.000205	0.001973	-0.001052	-0.00079
0.003077	-0.01118	0.006507	0.001521	-0.006288	0.003448	0.003964	-0.004041	-0.000052	0.002051	-0.000943	-0.000874
